Scenario,datetime,WS,WD,FireScenario
mch,2021-01-27 14:00,25.1,121,2
mch,2021-01-27 15:00,21.2,84,2
mch,2021-01-27 16:00,23.1,63,2
mch,2021-01-27 17:00,22.6,89,2
mch,2021-01-27 18:00,14.9,112,2
mch,2021-01-27 19:00,16.3,66,2
mch,2021-01-27 20:00,10.2,86,2
mch,2021-01-27 21:00,9.8,132,2
mch,2021-01-27 22:00,7.2,119,2
mch,2021-01-27 23:00,3.9,111,2
mch,2021-01-28 00:00,10.4,297,2
mch,2021-01-28 01:00,10.8,285,2
mch,2021-01-28 02:00,8.3,292,2
mch,2021-01-28 03:00,5.4,79,2
mch,2021-01-28 04:00,3.4,108,2
mch,2021-01-28 05:00,3.9,89,2
mch,2021-01-28 06:00,5.1,114,2
mch,2021-01-28 07:00,5.7,97,2
mch,2021-01-28 08:00,7.4,80,2
mch,2021-01-28 09:00,14.2,99,2
mch,2021-01-28 10:00,23.4,104,2
mch,2021-01-28 11:00,16.7,106,2
mch,2021-01-28 12:00,14.4,103,2
mch,2021-01-28 13:00,25.4,77,2
mch,2021-01-28 14:00,22.4,73,2
mch,2021-01-28 15:00,16.4,89,2
mch,2021-01-28 16:00,10.7,247,2
mch,2021-01-28 17:00,9.8,91,2
mch,2021-01-28 18:00,12.1,122,2
mch,2021-01-28 19:00,9.1,107,2
mch,2021-01-28 20:00,7.2,128,2
mch,2021-01-28 21:00,4.8,134,2
mch,2021-01-28 22:00,2.8,167,2
mch,2021-01-28 23:00,7.7,279,2
mch,2021-01-29 00:00,7.8,116,2
mch,2021-01-29 01:00,4.3,106,2
mch,2021-01-29 02:00,9.6,87,2
mch,2021-01-29 03:00,5.3,73,2
mch,2021-01-29 04:00,5.3,180,2
mch,2021-01-29 05:00,9,302,2
mch,2021-01-29 06:00,23.1,114,2
mch,2021-01-29 07:00,24.4,290,2
mch,2021-01-29 08:00,22.3,288,2
mch,2021-01-29 09:00,15.9,271,2
mch,2021-01-29 10:00,23.6,282,2
mch,2021-01-29 11:00,22.1,292,2
mch,2021-01-29 12:00,34.3,284,2
mch,2021-01-29 13:00,38.9,275,2
mch,2021-01-29 14:00,35.7,279,2
mch,2021-01-29 15:00,32.6,280,2
mch,2021-01-29 16:00,17.6,285,2
mch,2021-01-29 17:00,14.6,287,2
mch,2021-01-29 18:00,18.6,276,2
mch,2021-01-29 19:00,29.8,279,2
mch,2021-01-29 20:00,29.6,289,2
mch,2021-01-29 21:00,36.2,276,2
mch,2021-01-29 22:00,31.8,277,2
mch,2021-01-29 23:00,36.8,268,2
mch,2021-01-30 00:00,41.5,282,2
mch,2021-01-30 01:00,39.8,291,2
mch,2021-01-30 02:00,32.1,270,2
mch,2021-01-30 03:00,21.1,282,2
mch,2021-01-30 04:00,25.2,298,2
mch,2021-01-30 05:00,11.5,300,2
mch,2021-01-30 06:00,13.3,336,2
mch,2021-01-30 07:00,13.8,302,2
mch,2021-01-30 08:00,3.7,311,2
mch,2021-01-30 09:00,3.5,317,2
mch,2021-01-30 10:00,15,125,2
mch,2021-01-30 11:00,14.1,101,2
mch,2021-01-30 12:00,6.7,98,2
mch,2021-01-30 13:00,12.2,98,2
mch,2021-01-30 14:00,6.9,105,2
mch,2021-01-30 15:00,8.7,94,2
mch,2021-01-30 16:00,7.7,129,2
mch,2021-01-30 17:00,12.4,93,2
mch,2021-01-30 18:00,8.4,85,2
mch,2021-01-30 19:00,14.5,68,2
mch,2021-01-30 20:00,11.5,75,2
mch,2021-01-30 21:00,14.9,303,2
mch,2021-01-30 22:00,11.1,291,2
mch,2021-01-30 23:00,6.7,273,2
mch,2021-01-31 00:00,8.5,294,2
mch,2021-01-31 01:00,8.1,322,2
mch,2021-01-31 02:00,8.7,310,2
mch,2021-01-31 03:00,5.1,82,2
mch,2021-01-31 04:00,14.1,290,2
mch,2021-01-31 05:00,16.1,330,2
mch,2021-01-31 06:00,8.2,259,2
mch,2021-01-31 07:00,15.9,24,2
mch,2021-01-31 08:00,12.2,76,2
mch,2021-01-31 09:00,21.4,273,2
mch,2021-01-31 10:00,21.2,285,2
mch,2021-01-31 11:00,20.1,293,2
mch,2021-01-31 12:00,15.4,298,2
mch,2021-01-31 13:00,11.4,292,2
mch,2021-01-31 14:00,12.8,63,2
mch,2021-01-31 15:00,16.9,103,2
mch,2021-01-31 16:00,20.1,111,2
mch,2021-01-31 17:00,14.7,78,2
mch,2021-01-31 18:00,10.6,103,2
mch,2021-01-31 19:00,9.3,117,2
mch,2021-01-31 20:00,6.4,96,2
mch,2021-01-31 21:00,8.2022,161,2
mch,2021-01-31 22:00,6.2022,124,2
mch,2021-01-31 23:00,5.2022,322,2
mch,2021-02-01 00:00,5.2022,180,2
mch,2021-02-01 01:00,8.2022,280,2
mch,2021-02-01 02:00,2.2022,180,2
mch,2021-02-01 03:00,6.2022,275,2
mch,2021-02-01 04:00,2.2022,80,2
mch,2021-02-01 05:00,1.2022,84,2
mch,2021-02-01 06:00,2.2022,70,2
mch,2021-02-01 07:00,8.2022,292,2
mch,2021-02-01 08:00,8.2022,292,2
mch,2021-02-01 09:00,9.5,130,2
mch,2021-02-01 10:00,16.5,100,2
mch,2021-02-01 11:00,3.2022,91,2
mch,2021-02-01 12:00,7.2022,98,2
mch,2021-02-01 13:00,1.2022,90,2
mch,2021-02-01 14:00,8.2022,95,2
mch,2021-02-01 15:00,8.2022,104,2
mch,2021-02-01 16:00,3.2022,77,2
mch,2021-02-01 17:00,3.2022,91,2
mch,2021-02-01 18:00,17.9,90,2
mch,2021-02-01 19:00,1.2022,74,2
mch,2021-02-01 20:00,14.1,103,2